dataset,file,topology,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,C11_n,C12_n,C44_n,TAI,E_over_Es,G_over_Gs,nu_iso,Zener_Z,Rho_rel,group_key,element_order
TPMS,C(I2-Y) Generator_0.10.stl,C(I2-Y) Generator,,,,,,10.014,357044,1,1,-72,0.09927,120.0711,11.9196,0.876,-55.49102,52.47524,-0.57538,13.93587,353.0383,39.0581,0.1622,0.0388,4000,0.01622,,0.33335,0.33333,0.33332,1.0001,3e-05,0.33333,0.33333,0.33334,1e-05,0.962,48.8,OK,C(I2-Y) Generator_0.10,0.045733,0.018962,0.01231,0.021112,0.033143,0.033094,0.301902,0.919637,0.09927,TPMS|C(I2-Y) Generator|4,quadratic
TPMS,C(I2-Y) Generator_0.12.stl,C(I2-Y) Generator,,,,,,10.011,357258,1,1,-72,0.11971,100.3588,12.014,0.868,-55.52929,51.52435,-0.69553,13.99281,363.7928,38.7849,0.1948,0.0464,4000,0.01948,,0.33335,0.33334,0.3333,1.00015,5e-05,0.33333,0.33332,0.33335,2e-05,0.956,48.2,OK,C(I2-Y) Generator_0.12,0.056239,0.022916,0.015472,0.019033,0.041355,0.041437,0.297421,0.928601,0.11971,TPMS|C(I2-Y) Generator|5,quadratic
TPMS,C(I2-Y) Generator_0.14.stl,C(I2-Y) Generator,,,,,,10.012,357736,1,1,-72,0.13929,86.7891,12.0885,0.862,-55.64307,51.18396,-0.81511,13.81987,345.4402,39.4393,0.2251,0.054,4000,0.02251,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33332,0.33334,0.33334,1e-05,0.95,48.2,OK,C(I2-Y) Generator_0.14,0.056764,0.021473,0.015451,0.036652,0.042029,0.042377,0.289318,0.875609,0.13929,TPMS|C(I2-Y) Generator|6,quadratic
TPMS,C(I2-Y) Generator_0.16.stl,C(I2-Y) Generator,,,,,,10.017,361148,1,1,-72,0.15946,76.1987,12.1507,0.857,-55.75369,52.50858,-0.94332,13.88093,366.6898,40.1925,0.2574,0.0624,4000,0.02574,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33333,0.33333,0.33334,1e-05,0.944,48.1,OK,C(I2-Y) Generator_0.16,0.075691,0.029791,0.021537,0.016807,0.056966,0.057434,0.289397,0.938454,0.15946,TPMS|C(I2-Y) Generator|7,quadratic
TPMS,C(I2-Y) Generator_0.18.stl,C(I2-Y) Generator,,,,,,10.015,361752,1,1,-72,0.17912,68.2492,12.225,0.853,-55.88598,51.09703,-1.06616,13.90453,388.9631,40.6947,0.2872,0.0686,4000,0.02872,,0.33335,0.33333,0.33332,1.0001,3e-05,0.33334,0.33334,0.33332,1e-05,0.939,48.5,OK,C(I2-Y) Generator_0.18,0.088473,0.034929,0.025655,0.01133,0.067205,0.067843,0.287764,0.958263,0.17912,TPMS|C(I2-Y) Generator|8,quadratic
TPMS,C(I2-Y) Generator_0.20.stl,C(I2-Y) Generator,,,,,,10.014,362252,1,1,-72,0.1996,61.5922,12.2937,0.845,-56.04879,50.56392,-1.19622,13.84333,418.6011,40.1557,0.3194,0.0768,4000,0.03194,,0.33336,0.33333,0.33331,1.00013,4e-05,0.33333,0.33332,0.33335,1e-05,0.93,49.2,OK,C(I2-Y) Generator_0.20,0.100459,0.039421,0.029584,0.008454,0.077008,0.077889,0.285297,0.969357,0.1996,TPMS|C(I2-Y) Generator|9,quadratic
TPMS,C(I2-Y) Generator_0.22.stl,C(I2-Y) Generator,,,,,,10.012,361426,1,1,-72,0.21936,56.3672,12.3648,0.837,-56.29712,50.15312,-1.317,13.79162,405.1519,39.7744,0.349,0.0832,4000,0.0349,,0.33336,0.33333,0.33331,1.00013,4e-05,0.33332,0.33333,0.33335,1e-05,0.922,48.9,OK,C(I2-Y) Generator_0.22,0.112365,0.043852,0.033554,0.005643,0.086829,0.087977,0.28303,0.979502,0.21936,TPMS|C(I2-Y) Generator|10,quadratic
TPMS,C(I2-Y) Generator_0.24.stl,C(I2-Y) Generator,,,,,,10.017,363456,1,1,-72,0.23874,51.9595,12.405,0.831,-56.4211,49.88664,-1.44931,13.6581,410.6738,42.0797,0.3811,0.0901,4000,0.03811,,0.33335,0.33334,0.33331,1.00013,4e-05,0.33333,0.33333,0.33334,1e-05,0.917,48.8,OK,C(I2-Y) Generator_0.24,0.124701,0.048452,0.03774,0.002804,0.097088,0.098531,0.280967,0.989932,0.23874,TPMS|C(I2-Y) Generator|11,quadratic
TPMS,C(I2-Y) Generator_0.26.stl,C(I2-Y) Generator,,,,,,10.013,364032,1,1,-72,0.25873,48.2201,12.4761,0.823,-56.56915,48.90148,-1.58795,13.80569,460.9549,41.4567,0.4079,0.0983,4000,0.04079,,0.33337,0.33332,0.3333,1.00021,7e-05,0.33332,0.33334,0.33334,1e-05,0.909,48.2,OK,C(I2-Y) Generator_0.26,0.137498,0.053237,0.042162,0.000294,0.107823,0.109591,0.279027,1.000766,0.25873,TPMS|C(I2-Y) Generator|12,quadratic
TPMS,C(I2-Y) Generator_0.28.stl,C(I2-Y) Generator,,,,,,10.016,365056,1,1,-72,0.27905,44.8525,12.5159,0.817,-56.74127,48.69831,-1.73904,13.54271,473.0047,41.7265,0.4405,0.1042,4000,0.04405,,0.33336,0.33332,0.33331,1.00016,5e-05,0.33332,0.33334,0.33333,1e-05,0.902,49.4,OK,C(I2-Y) Generator_0.28,0.15135,0.058464,0.047011,0.003303,0.119513,0.12164,0.277273,1.012237,0.27905,TPMS|C(I2-Y) Generator|13,quadratic
TPMS,C(I2-Y) Generator_0.30.stl,C(I2-Y) Generator,,,,,,10.015,365140,1,1,-72,0.29886,42.0637,12.571,0.811,-56.93103,49.10209,-1.89435,13.74541,519.6893,43.8295,0.4722,0.1152,4000,0.04722,,0.33339,0.33331,0.3333,1.00026,9e-05,0.33332,0.33336,0.33333,2e-05,0.896,49.5,OK,C(I2-Y) Generator_0.30,0.165296,0.063722,0.051953,0.00634,0.131349,0.133856,0.275651,1.022965,0.29886,TPMS|C(I2-Y) Generator|14,quadratic
TPMS,C(Y) Generator_0.10.stl,C(Y) Generator,,,,,,10.016,297452,1,1,-48,0.09907,102.6685,10.1717,0.815,-34.24174,26.69673,-0.38603,14.15145,221.3901,27.1886,0.2135,0.0414,4000,0.02135,,0.3334,0.33333,0.33327,1.0004,0.00013,0.33329,0.33339,0.33332,4e-05,0.902,41.2,OK,C(Y) Generator_0.10,0.040623,0.017908,0.010807,0.01193,0.028903,0.028662,0.310939,0.951525,0.09907,TPMS|C(Y) Generator|4,quadratic
TPMS,C(Y) Generator_0.12.stl,C(Y) Generator,,,,,,10.016,299608,1,1,-48,0.11866,86.7735,10.2966,0.807,-34.28618,27.27771,-0.47163,14.03896,221.8359,27.1519,0.2547,0.0497,4000,0.02547,,0.33349,0.33331,0.33321,1.00084,0.00028,0.33322,0.3333,0.33349,0.00011,0.895,40.9,OK,C(Y) Generator_0.12,0.049737,0.021713,0.013459,0.009839,0.035779,0.035561,0.307974,0.960501,0.11866,TPMS|C(Y) Generator|5,quadratic
TPMS,C(Y) Generator_0.14.stl,C(Y) Generator,,,,,,10.035,303640,1,1,-48,0.13852,74.9842,10.387,0.803,-34.27303,26.96276,-0.55465,14.01086,218.086,26.8601,0.2954,0.0598,4000,0.02954,,0.33346,0.33329,0.33325,1.00065,0.00022,0.33325,0.33329,0.33346,9e-05,0.887,41.5,OK,C(Y) Generator_0.14,0.059598,0.025758,0.016414,0.007506,0.04336,0.043198,0.304889,0.970101,0.13852,TPMS|C(Y) Generator|6,quadratic
TPMS,C(Y) Generator_0.18.stl,C(Y) Generator,,,,,,10.049,306892,1,1,-48,0.17747,59.6406,10.5842,0.801,-34.428,27.46371,-0.71239,14.02954,224.2251,27.0877,0.3769,0.0812,4000,0.03769,,0.33342,0.33332,0.33326,1.00049,0.00016,0.33326,0.33341,0.33333,6e-05,0.881,42.4,OK,C(Y) Generator_0.18,0.079078,0.033528,0.022598,0.002022,0.05887,0.058935,0.298564,0.992266,0.17747,TPMS|C(Y) Generator|8,quadratic
TPMS,C(Y) Generator_0.20.stl,C(Y) Generator,,,,,,10.064,309068,1,1,-48,0.19592,54.3296,10.644,0.801,-34.44342,27.576,-0.80123,13.98682,220.7491,27.0905,0.4123,0.0913,4000,0.04123,,0.33338,0.33335,0.33327,1.00035,0.00012,0.33338,0.33335,0.33327,5e-05,0.877,44.9,OK,C(Y) Generator_0.20,0.089767,0.037729,0.026006,0.000147,0.067419,0.067628,0.295981,0.999484,0.19592,TPMS|C(Y) Generator|9,quadratic
TPMS,C(Y) Generator_0.22.stl,C(Y) Generator,,,,,,10.015,312098,1,1,-48,0.21855,49.8738,10.9,0.781,-34.82508,28.22902,-0.88644,13.98328,224.6047,28.1219,0.4583,0.1011,4000,0.04583,,0.33338,0.33334,0.33328,1.00029,0.0001,0.33333,0.33329,0.33337,3e-05,0.867,42.5,OK,C(Y) Generator_0.22,0.100803,0.041995,0.029652,0.002223,0.076429,0.076832,0.293187,1.008443,0.21855,TPMS|C(Y) Generator|10,quadratic
TPMS,C(Y) Generator_0.24.stl,C(Y) Generator,,,,,,10.014,313608,1,1,-48,0.23846,46.1237,10.9989,0.776,-34.92585,28.77984,-0.97777,14.03505,218.3367,27.3484,0.4921,0.113,4000,0.04921,,0.33337,0.33334,0.33329,1.00022,7e-05,0.33335,0.3333,0.33335,3e-05,0.863,42.5,OK,C(Y) Generator_0.24,0.112169,0.046337,0.033511,0.004732,0.085863,0.086501,0.290404,1.018078,0.23846,TPMS|C(Y) Generator|11,quadratic
TPMS,C(Y) Generator_0.26.stl,C(Y) Generator,,,,,,10.015,314526,1,1,-60,0.25828,42.9489,11.093,0.772,-35.07645,28.73667,-1.06934,14.04772,224.3214,27.0461,0.5283,0.1211,4000,0.05283,,0.33345,0.33333,0.33322,1.00067,0.00022,0.33326,0.33332,0.33342,7e-05,0.857,40.9,OK,C(Y) Generator_0.26,0.124119,0.050848,0.037608,0.006925,0.095836,0.096747,0.287761,1.026555,0.25828,TPMS|C(Y) Generator|12,quadratic
TPMS,C(Y) Generator_0.28.stl,C(Y) Generator,,,,,,10.014,316132,1,1,-60,0.27912,40.0312,11.1737,0.766,-35.23696,29.32427,-1.17145,14.17522,220.5579,28.7872,0.5712,0.1329,4000,0.05712,,0.3334,0.33336,0.33324,1.00047,0.00016,0.33337,0.33325,0.33339,6e-05,0.852,41.9,OK,C(Y) Generator_0.28,0.136912,0.055572,0.042106,0.009164,0.1067,0.107954,0.284898,1.035309,0.27912,TPMS|C(Y) Generator|13,quadratic
TPMS,C(Y) Generator_0.30.stl,C(Y) Generator,,,,,,10.015,316788,1,1,-60,0.29905,37.6176,11.2497,0.759,-35.40435,29.50978,-1.26881,14.04489,224.9836,28.1997,0.6156,0.1453,4000,0.06156,,0.33338,0.33333,0.33329,1.00027,9e-05,0.33338,0.33329,0.33333,3e-05,0.845,42.2,OK,C(Y) Generator_0.30,0.147058,0.059129,0.045558,0.009788,0.115242,0.116785,0.282829,1.036249,0.29905,TPMS|C(Y) Generator|14,quadratic
TPMS,D Generator_0.10.stl,D Generator,,,,,,10.017,246240,1,1,-18,0.09977,80.7761,8.0592,0.88,-27.29855,23.67067,-0.3534,13.3338,50.0832,19.812,0.2677,0.0154,4000,0.02677,,0.33339,0.33338,0.33322,1.00051,0.00017,0.33333,0.33333,0.33335,1e-05,0.965,34.9,OK,D Generator_0.10,0.054139,0.020934,0.01045,0.110126,0.03339,0.032733,0.326102,0.629411,0.09977,TPMS|D Generator|4,quadratic
TPMS,D Generator_0.12.stl,D Generator,,,,,,10.015,247968,1,1,-18,0.1196,68.0748,8.1416,0.871,-27.42904,23.8587,-0.42104,13.02137,52.2265,20.2727,0.3229,0.02,4000,0.03229,,0.33335,0.33334,0.33331,1.00014,5e-05,0.33335,0.33335,0.33331,2e-05,0.957,36.3,OK,D Generator_0.12,0.065331,0.025132,0.013073,0.103855,0.041099,0.040408,0.322232,0.650444,0.1196,TPMS|D Generator|5,quadratic
TPMS,D Generator_0.14.stl,D Generator,,,,,,10.016,250272,1,1,-18,0.13956,58.9056,8.2206,0.862,-27.47122,23.74396,-0.50609,13.30623,49.6808,20.0784,0.3752,0.0261,4000,0.03752,,0.33342,0.33341,0.33317,1.00076,0.00025,0.33333,0.33333,0.33334,0.0,0.952,34.3,OK,D Generator_0.14,0.076645,0.029357,0.015855,0.097792,0.049097,0.048403,0.318645,0.670573,0.13956,TPMS|D Generator|6,quadratic
TPMS,D Generator_0.16.stl,D Generator,,,,,,10.017,250272,1,1,-18,0.15931,51.9508,8.2764,0.86,-27.53765,23.90162,-0.57311,12.90233,50.2861,20.0001,0.4293,0.0355,4000,0.04293,,0.33342,0.33341,0.33317,1.00073,0.00024,0.33333,0.33333,0.33335,1e-05,0.943,33.6,OK,D Generator_0.16,0.088216,0.033634,0.01883,0.09197,0.057485,0.056823,0.315145,0.689952,0.15931,TPMS|D Generator|7,quadratic
TPMS,D Generator_0.18.stl,D Generator,,,,,,10.016,252768,1,1,-18,0.17859,46.7657,8.3517,0.843,-27.68976,23.73539,-0.6518,13.029,55.3807,20.1505,0.4812,0.0405,4000,0.04812,,0.33335,0.33334,0.33332,1.00009,3e-05,0.33334,0.33334,0.33332,1e-05,0.934,33.3,OK,D Generator_0.18,0.099529,0.037795,0.021877,0.086342,0.065901,0.065307,0.31184,0.708757,0.17859,TPMS|D Generator|8,quadratic
TPMS,D Generator_0.20.stl,D Generator,,,,,,10.015,252768,1,1,-18,0.1994,42.2651,8.4275,0.844,-27.68586,25.28877,-0.73221,12.9957,53.2234,20.2844,0.5367,0.0545,4000,0.05367,,0.33342,0.33342,0.33316,1.0008,0.00027,0.33333,0.33333,0.33334,0.0,0.929,33.0,OK,D Generator_0.20,0.112067,0.042377,0.025419,0.080048,0.075476,0.075,0.308262,0.729474,0.1994,TPMS|D Generator|9,quadratic
TPMS,D Generator_0.22.stl,D Generator,,,,,,10.013,253344,1,1,-18,0.21944,38.705,8.4934,0.836,-27.89387,24.36646,-0.80434,13.42147,52.2067,20.6909,0.5905,0.0647,4000,0.05905,,0.33338,0.33332,0.3333,1.00022,7e-05,0.33334,0.33334,0.33332,1e-05,0.921,33.8,OK,D Generator_0.22,0.124349,0.04685,0.029062,0.073903,0.085109,0.084793,0.304838,0.749996,0.21944,TPMS|D Generator|10,quadratic
TPMS,D Generator_0.24.stl,D Generator,,,,,,10.017,254496,1,1,-18,0.23933,35.7674,8.5601,0.827,-27.92119,25.30907,-0.89208,13.32175,55.9691,20.4377,0.6459,0.0748,4000,0.06459,,0.33343,0.33342,0.33315,1.00083,0.00028,0.33333,0.33333,0.33334,0.0,0.915,33.5,OK,D Generator_0.24,0.137018,0.051453,0.032975,0.067644,0.095275,0.095168,0.301457,0.77076,0.23933,TPMS|D Generator|11,quadratic
TPMS,D Generator_0.26.stl,D Generator,,,,,,10.016,253728,1,1,-18,0.25837,33.2971,8.6029,0.823,-28.11364,25.70662,-0.96222,13.15784,56.2988,20.7624,0.6984,0.0867,4000,0.06984,,0.33342,0.33341,0.33318,1.00072,0.00024,0.33332,0.33332,0.33335,1e-05,0.906,33.6,OK,D Generator_0.26,0.149357,0.055873,0.036908,0.062035,0.10534,0.10548,0.298278,0.78961,0.25837,TPMS|D Generator|12,quadratic
TPMS,D Generator_0.28.stl,D Generator,,,,,,10.017,257760,1,1,-18,0.27847,31.1138,8.6643,0.808,-28.28667,25.49625,-1.05348,13.15439,53.822,20.8524,0.7529,0.1053,4000,0.07529,,0.33335,0.33333,0.33331,1.00011,4e-05,0.33334,0.33334,0.33332,1e-05,0.898,36.0,OK,D Generator_0.28,0.162086,0.06045,0.041158,0.055893,0.115984,0.116427,0.295054,0.80991,0.27847,TPMS|D Generator|13,quadratic
TPMS,D Generator_0.30.stl,D Generator,,,,,,10.017,255456,1,1,-18,0.29849,29.2201,8.7218,0.807,-28.36864,25.11879,-1.1335,13.34548,57.588,20.8413,0.8093,0.1174,4000,0.08093,,0.33344,0.33343,0.33314,1.0009,0.0003,0.33333,0.33333,0.33334,1e-05,0.892,36.4,OK,D Generator_0.30,0.176588,0.065694,0.046021,0.049898,0.128127,0.128921,0.291988,0.829997,0.29849,TPMS|D Generator|14,quadratic
TPMS,D' Generator_0.10.stl,D' Generator,,,,,,10.015,361120,1,1,-116,0.09857,131.7563,12.9867,0.851,-61.3376,85.69963,-0.7413,15.59011,779.6348,55.8253,0.1502,0.0437,4000,0.01502,,0.33336,0.33336,0.33328,1.00024,8e-05,0.33333,0.33334,0.33333,0.0,0.95,52.8,OK,D' Generator_0.10,0.036101,0.013423,0.006961,0.118917,0.022401,0.022028,0.32206,0.613861,0.09857,TPMS|D' Generator|4,quadratic
TPMS,D' Generator_0.12.stl,D' Generator,,,,,,10.015,362670,1,1,-116,0.11896,110.228,13.1125,0.845,-61.57177,79.13872,-0.91294,14.89387,724.4713,55.0094,0.1791,0.0477,4000,0.01791,,0.33345,0.33341,0.33314,1.00093,0.00031,0.33334,0.33333,0.33333,0.0,0.948,50.0,OK,D' Generator_0.12,0.044631,0.01665,0.008918,0.110742,0.028201,0.027793,0.319076,0.63739,0.11896,TPMS|D' Generator|5,quadratic
TPMS,D' Generator_0.14.stl,D' Generator,,,,,,10.02,364740,1,1,-116,0.13877,95.1794,13.2084,0.84,-61.55103,78.36538,-1.09326,14.7845,577.6958,52.6615,0.2083,0.0539,4000,0.02083,,0.33343,0.33336,0.33321,1.00067,0.00022,0.33331,0.33332,0.33337,2e-05,0.941,50.6,OK,D' Generator_0.14,0.045336,0.017665,0.009277,0.099373,0.028769,0.028302,0.32141,0.670544,0.13877,TPMS|D' Generator|6,quadratic
